ringNumber,crackLength,crackWidth,radiusOfCurvature,segmentDislocation,settlementRate,convergenceDeformation,leakageRate,subjection1,subjection2,subjection3,subjection4,comprehensiveValue,comprehensiveLevel
1,1,3,3,3,3,1,1,0.4136656165447188,0.12049586454590688,0.47330308839562013,0.06998571720057134,62.350420261624976,2
2,2,3,3,2,3,1,1,0.28145346699257323,0.31849671549859165,0.4598136670688965,0.0044833121160126055,61.83227699704591,2
3,2,1,3,1,3,1,1,0.557537292595127,0.22550676570428174,0.29503809104835604,0.0,73.94261437290457,2
4,2,2,3,3,2,1,1,0.299985802817185,0.3734090797566753,0.3697396350034411,0.0,63.45206154392493,2
5,1,3,3,3,2,1,1,0.4141853463744454,0.20546455375501047,0.486176339094314,0.0,67.3143651334889,2
6,2,3,3,3,3,1,2,0.16987774727759886,0.31637288930825974,0.5268078346826166,0.06969372035418123,55.26407377358153,2
7,2,3,3,3,3,1,1,0.277171308988055,0.2755108271155064,0.5056643438688743,0.0,60.43432912625675,2
8,3,3,3,2,3,1,2,0.23305669990238403,0.2953019471410972,0.5284646788521461,0.0,58.66625839473265,2
9,3,3,3,1,2,1,1,0.4152413416686303,0.26996938583592966,0.41834557433053793,0.0,68.89466304814593,2
10,3,2,3,1,3,1,1,0.4770581758148792,0.18323863199971943,0.3636056264232061,0.0,66.83021587465463,2
11,2,1,3,1,3,1,2,0.4538678761404149,0.3601210224960625,0.35557561427111983,0.0,75.55508860345721,1
12,2,2,3,2,1,1,1,0.4307176669553764,0.4413039948627525,0.2725426231823963,0.0,75.48964390685732,1
13,2,1,3,1,3,1,1,0.5528204750370804,0.21976334241151466,0.3626807504052509,0.0,75.70752860666111,1
14,3,3,3,2,3,1,1,0.27386591490522444,0.15634919744916154,0.4861390126878169,0.09568851727296747,53.16141183648496,2
15,1,2,3,2,2,1,1,0.47666425494849773,0.3515109964611847,0.29218056893307914,0.0,74.63433092180806,2
16,2,2,3,2,3,1,1,0.29134797431852544,0.45363097520563456,0.34613170544877814,0.0,66.82482265755232,2
17,2,3,3,2,3,1,1,0.28096679614787523,0.3691246529689824,0.45039785246982394,0.0,64.54480494111888,2
18,3,3,3,2,3,1,1,0.28843158187115625,0.2334448363397591,0.5477895564746291,0.0,60.37017405275971,2
19,2,1,3,3,3,1,2,0.309992692042325,0.343723468701513,0.45366192954497353,0.0,65.61939970548451,2
20,2,2,3,1,3,1,1,0.4168206763187673,0.3061748835954455,0.3821999992831875,0.0,69.940239375727,2
21,2,2,3,1,2,1,1,0.43465984690874226,0.29885062289326375,0.32954262874345863,0.0,69.06874911322362,2
22,3,2,3,1,1,1,1,0.557364475838555,0.22899111847927303,0.2902988210967758,0.062347030787066826,74.74688021679556,2
23,1,2,3,3,3,1,1,0.46945422135998727,0.18953891439880538,0.41719843363557524,0.0,68.56836778025828,2
24,1,2,3,2,3,1,1,0.4526668179701788,0.31289840142011266,0.33689944542042854,0.0,71.79822586441375,2
25,3,3,3,1,2,1,1,0.3745387088304339,0.3222866119434222,0.4231102275345949,0.0,68.78168380167416,2
26,3,3,3,2,3,1,1,0.2776911158716248,0.20601639130163493,0.5464231501335076,0.0044833121160126055,57.72090662657605,2
27,3,2,3,1,3,1,1,0.42682022780479223,0.1920031137172821,0.4588314463930216,0.0,66.55314377998776,2
28,3,2,3,1,3,1,1,0.41474403031050455,0.21281005514077006,0.41482466110852695,0.0009084714967067844,65.15801178374588,2
29,1,3,3,3,3,1,1,0.41278857018766657,0.11620755556129864,0.5473203099310086,0.0035658569199910604,63.9510569479147,2
30,2,1,3,2,3,1,1,0.42213910868689597,0.3312729893583768,0.35334835089484196,0.009995531511520474,71.01724114745254,2
31,3,2,3,1,3,1,2,0.3076959818261185,0.3112651616360137,0.4007519838566385,0.01449192017942377,61.58681940890297,2
32,2,3,3,2,3,1,1,0.2911095180624959,0.3033428439863819,0.43599977085919456,0.03410475030450674,61.2073113656434,2
33,1,2,3,2,3,1,1,0.45523739346710446,0.2885274999961397,0.34029815212996495,0.0,70.62742138300405,2
34,3,3,3,1,3,1,1,0.4119680352262265,0.09585188876025633,0.561235700145865,0.0,63.08428488528078,2
35,3,2,3,2,3,1,1,0.2896714329540129,0.36637599664019144,0.42974289313351965,0.0,64.36010866599507,2
36,3,1,3,2,3,1,1,0.4215834105973979,0.2593454494969816,0.4216287811389868,0.0,68.90871831354568,2
37,2,1,3,2,3,1,1,0.4280173869672746,0.3144925891361794,0.3784501755887852,0.0,71.29918976522718,2
38,1,2,3,3,3,1,1,0.419293003595712,0.2429474753341591,0.42165680696014896,0.0,67.68448528401532,2
39,2,2,3,2,3,1,2,0.17276618911240393,0.4858337877881068,0.44237821010310574,0.0,62.070836162958486,2
40,1,2,3,3,1,1,1,0.559815767914833,0.26453319746344467,0.367363636448605,0.0,79.29334090083586,1
41,1,3,3,2,3,1,1,0.41859707270236035,0.26420639708120147,0.4107320349787306,0.0,68.54259499073402,2
42,3,2,3,2,2,1,1,0.3393818752185963,0.37895747313034706,0.34542387360436444,0.0,66.33415141243754,2
43,1,1,3,1,3,1,2,0.5895318371382586,0.24308419991778557,0.35268401916514136,0.0,80.00244896315203,1
44,3,3,3,2,3,1,1,0.2740336441173897,0.17422501538718205,0.5573949102715918,0.02675088240757939,56.10370248724991,2
45,2,2,3,3,3,1,2,0.19230720089493522,0.36367967508665533,0.4657247216226411,0.0018418326234603303,57.044559739865086,2
46,1,3,3,2,3,1,2,0.3088378695492164,0.29259415008094164,0.4806643360143636,0.0,63.335360566153916,2
47,3,3,3,3,1,1,1,0.41508592649362985,0.19279049802405251,0.513833621538277,0.0,67.63818550238128,2
48,1,2,3,3,3,1,2,0.31641023550446573,0.2996657026889063,0.4496420253265678,0.0,63.2765779744437,2
49,1,3,3,3,3,1,1,0.4144244267266215,0.19396908955083034,0.5092880829133511,0.0,67.48350854475694,2
50,1,3,3,1,3,1,1,0.5289955691953339,0.16178622091511013,0.42052223484594103,1.86564553667618e-05,72.16856812420097,2
51,3,2,3,2,3,1,1,0.40381848057698444,0.1978680912424195,0.45416816959699247,0.0,64.73217911302457,2
52,3,1,3,3,3,1,1,0.4150652207080794,0.15763872391740227,0.5089154027947619,0.0,65.25495466159816,2
53,3,1,3,2,3,1,2,0.3339133488562401,0.2767326388381911,0.4078372629407284,0.027269296093602548,62.147971513755294,2
54,2,2,3,2,3,1,1,0.3451304017046347,0.34214549041483394,0.3542257421071677,0.0,64.86646862910145,2
55,2,2,3,3,3,1,1,0.2777516301089676,0.3474476960913254,0.4892210918749026,0.0,64.36453958555136,2
56,3,1,3,2,3,1,1,0.4368361360426428,0.217687765238069,0.4703440835428418,0.0,69.46655036396713,2
