ringNumber,crackLength,crackWidth,radiusOfCurvature,segmentDislocation,settlementRate,convergenceDeformation,leakageRate,subjection1,subjection2,subjection3,subjection4,comprehensiveValue,comprehensiveLevel
1,1,3,2,3,2,1,1,0.5277490626471708,0.20855699311549475,0.17719868487352636,0.08649525936380813,66.9389964761507,2
2,2,3,2,2,2,1,1,0.43490511558027234,0.3332204637388864,0.22513221044047943,0.006742210240361798,67.40721211647673,2
3,2,1,2,1,1,1,1,0.6644101156548311,0.2754726430188029,0.06008912746139116,2.8113864974803e-05,77.60661901158726,1
4,2,2,2,3,1,1,1,0.5028692799061707,0.36228676732894904,0.13481578891922177,2.8163845658594462e-05,71.69992908239081,2
5,1,3,2,3,1,1,1,0.5566148097170919,0.2007741219358068,0.2425828515540579,2.8216793043441973e-05,70.34938811442368,2
6,2,3,2,3,2,1,2,0.1640529074776924,0.5244121778913369,0.27522377720057783,0.03631113743039275,57.905171385408224,2
7,2,3,2,3,2,1,1,0.41834343465213664,0.3675413567905637,0.21408687820641617,2.8330350883498307e-05,67.60499739359882,2
8,3,3,2,2,2,1,2,0.16775047430167567,0.5311854685448771,0.3010356646686013,2.8392484845889872e-05,59.16645061658457,2
9,3,3,2,1,1,1,1,0.5068833828729862,0.2321988982490167,0.2608892610473309,2.845783066609587e-05,68.64843015410807,2
10,3,2,2,1,1,1,1,0.5885615909583979,0.2632528277044679,0.1481570548840665,2.8526453067829623e-05,73.50868707920492,2
11,2,1,2,1,2,1,2,0.34417897568588884,0.5472217489527951,0.10857067694326289,2.8598418053165906e-05,68.38877754766298,2
12,1,2,2,2,1,1,1,0.557575293094436,0.3579973374712286,0.08439869752092397,2.8671913411480455e-05,74.32798129366722,2
13,2,1,2,1,2,1,1,0.6021867741672942,0.3030401754705176,0.09474429968104647,2.8750681141674308e-05,75.18462432809909,1
14,3,3,2,2,2,1,1,0.39503199615817214,0.2340770423811866,0.33281083156879293,0.03808012989184836,62.15152262014207,2
15,1,2,2,2,1,1,1,0.5981957254032091,0.2860073833416555,0.11576797232681683,2.8918928318647786e-05,74.55924788049387,2
16,2,2,2,2,1,1,1,0.45932820241793215,0.4399235655553773,0.10071922347483703,2.900855185350392e-05,71.4637740459847,2
17,2,3,2,2,1,1,1,0.45281400347015943,0.331280288078355,0.21587660651103155,2.9101940453950346e-05,68.42197982695549,2
18,3,3,2,2,2,1,1,0.4249545625282906,0.2754398238231394,0.29957641689654385,2.919675202614569e-05,65.63299380319236,2
19,2,1,2,3,2,1,2,0.26852832045670283,0.5715712004315554,0.15987118130902842,2.9297802713473163e-05,65.21496358855619,2
20,2,2,2,1,2,1,1,0.47561771886592236,0.4275286086138565,0.09682426967223329,2.940284798787418e-05,71.96836608744283,2
21,2,2,2,1,1,1,1,0.5213400348901408,0.3150071683391897,0.16362328480264118,2.951196802839279e-05,71.44144315378608,2
22,3,2,2,1,1,1,1,0.5169217037816168,0.2966652690084381,0.12322571545981584,0.06318731175012916,69.18303412053855,2
23,1,2,2,3,2,1,1,0.6047381056884739,0.27642533003569014,0.11880682443213948,2.9739843696519987e-05,74.64679503922353,2
24,1,2,2,2,2,1,1,0.5593974968593363,0.36694019876805606,0.07363244279404557,2.986157856218715e-05,74.64263327270416,2
25,3,3,2,1,1,1,1,0.49113565305297846,0.2568763732188648,0.2519579860052645,2.9987722892293544e-05,68.47794229004822,2
26,3,3,2,2,2,1,1,0.40153455961308676,0.26527566343997877,0.32644551513380227,0.006744261813132214,64.0400130213255,2
27,3,2,2,1,2,1,1,0.4793599805018553,0.34293568916326345,0.17767407673979477,3.025359508654801e-05,70.04063491429719,2
28,3,2,2,1,1,1,1,0.49289125012570734,0.3196205059027161,0.18634661088718835,0.0011416330843881345,70.10653432674356,2
29,1,3,2,3,2,1,1,0.5206771114807114,0.22655205720583038,0.2504769397558212,0.002293891557636948,69.14030971524039,2
30,2,1,2,2,2,1,1,0.539036006903058,0.36908938410222575,0.09184392496074228,3.068403397404294e-05,73.67826784685919,2
31,3,2,2,1,1,1,2,0.234498556612317,0.5334596512927068,0.2144286504872624,0.017613141607713944,62.12109057274068,2
32,1,3,2,2,2,1,1,0.49502514257894326,0.27900543648728265,0.17861907686791142,0.04735034406586266,68.04263443948265,2
33,1,2,2,2,2,1,1,0.5548332763133736,0.37621863121571614,0.06891692995803966,3.116251287056727e-05,74.64635053323983,2
34,3,3,2,1,2,1,1,0.4611608299148613,0.2193474512132883,0.31946039067521487,3.132819663554206e-05,66.04094457115937,2
35,3,2,2,2,1,1,1,0.45097307663922953,0.34689677445752143,0.20209864557541932,3.150332782970023e-05,68.72028561020377,2
36,3,1,2,2,1,1,1,0.5829664464147102,0.24579294801876486,0.17120892163038326,3.168393614176762e-05,72.79235392280108,2
37,1,1,2,2,2,1,1,0.6002840626302768,0.32211686577919973,0.07756720145972683,3.187013079666222e-05,75.56632802272392,1
38,1,2,2,3,2,1,1,0.5225767550061591,0.3628110718222473,0.11458011114845619,3.2062023137392554e-05,72.6983129952857,2
39,2,2,2,2,2,1,2,0.15075986601850344,0.6800524828818345,0.16915539137299992,3.2259726662115e-05,62.038498879804486,2
40,1,2,2,3,1,1,1,0.5750759299425594,0.30399259133575096,0.12089902040265876,3.2458319030933886e-05,73.85279982254598,2
41,1,3,2,2,1,1,1,0.5655890694588686,0.24560027712202354,0.18877798557373693,3.266784537107296e-05,71.91864370485975,2
42,3,2,2,2,1,1,1,0.4742215369183377,0.36048018660016384,0.16526539294776166,3.288353373682959e-05,70.22225942257757,2
43,1,1,2,1,2,1,2,0.4488335102542585,0.45991608934012695,0.09121729489904809,3.310550656653346e-05,71.43875010855194,2
44,3,3,2,2,1,1,1,0.4228847388365842,0.23251297667769316,0.3135169000893992,0.031085384396323416,63.67992674886345,2
45,1,2,2,3,2,1,2,0.2185467312168753,0.5952181896631432,0.1862015161213518,3.3562998629683044e-05,63.306952227456605,2
46,1,3,2,2,1,1,2,0.282961337598604,0.445163637161635,0.271841220820798,3.380441896308902e-05,62.776312698496994,2
47,3,3,2,3,1,1,1,0.45072520861110377,0.24891139192689957,0.30032934682791224,3.4052634084541125e-05,66.25819391287557,2
48,1,2,2,3,2,1,2,0.25004479150159226,0.5730041836189534,0.17691671710097961,3.4307778474623274e-05,64.32648647109158,2
49,1,3,2,3,1,1,1,0.5497127262302757,0.21422808601055873,0.2360246177700158,3.456998914980285e-05,70.340474212049,2
50,1,3,2,1,2,1,1,0.5547355124535569,0.23599458525612874,0.2092350695425907,3.4832747723637016e-05,71.13576943538797,2
51,3,2,2,2,2,1,1,0.5186756629005252,0.30245308604725696,0.17883641830449432,3.4832747723637016e-05,70.99423947751461,2
52,3,1,2,3,2,1,1,0.5395960506225796,0.2557606588056578,0.2046085900688521,3.470050291047479e-05,70.87295148869767,2
53,3,1,2,2,2,1,2,0.279403085764165,0.48886794558051916,0.23169439866616606,3.456998914980285e-05,63.690988677992486,2
54,1,2,2,2,2,1,1,0.5212285011704996,0.4038068759866062,0.07493018804812104,3.443479477325756e-05,73.65573608832081,2
55,2,2,2,3,2,1,1,0.43204633042778195,0.41653689501391733,0.15138246677982606,3.4307778474623274e-05,69.51488120227518,2
56,3,1,2,2,2,1,1,0.5504036000974706,0.27910750973200277,0.17045471394983627,3.417622069030781e-05,71.99701334265635,2
57,3,3,2,1,2,1,1,0.4438290227210208,0.24452064489887193,0.3116162797460227,3.4052634084541125e-05,65.80361594267073,2
58,1,3,2,3,2,1,1,0.5007993844654427,0.24003658056750443,0.25913010427076805,3.393069628486395e-05,68.54003547005263,2
59,3,1,2,3,1,1,1,0.5940977506429346,0.1834429426383888,0.22242550229971347,3.380441896308902e-05,71.79011598763236,2
60,3,2,2,2,1,1,2,0.1801817625669873,0.5576681918274125,0.2054218909145079,0.05672815469109235,59.032589056757374,2
61,2,3,2,2,1,1,1,0.4812315124085861,0.28945664635603563,0.14888025367292862,0.08043158756244971,66.78720209026895,2
62,1,3,2,3,2,1,2,0.2402982441626667,0.4639757269476166,0.29569258123122805,3.3447658488699725e-05,61.11346919036153,2
