ringNumber,crackLength,crackWidth,radiusOfCurvature,segmentDislocation,settlementRate,convergenceDeformation,leakageRate,crackLengthScore,crackWidthScore,radiusOfCurvatureScore,segmentDislocationScore,settlementRateScore,convergenceDeformationScore,leakageRateScore,subjection1,subjection2,subjection3,subjection4,comprehensiveValue,comprehensiveLevel
632,1,1,1,1,1,1,1,79.01,80.51,87.49,73.27,82.49,73.08,84.37,0.77,0.16,0.05,0.0,80.3,1
633,1,1,1,1,1,1,1,81.62,75.24,87.49,80.58,80.56,80.04,84.37,0.78,0.16,0.04,0.0,80.86,1
634,1,1,1,1,1,1,1,75.71,78.97,87.49,78.2,76.41,80.75,84.37,0.76,0.17,0.05,0.0,80.32,1
635,1,1,1,2,2,1,1,78.71,78.17,87.49,59.34,59.5,72.28,84.37,0.53,0.36,0.09,0.0,73.36,2
636,1,1,1,2,2,1,1,80.85,78.48,87.49,56.41,59.25,85.49,84.37,0.53,0.35,0.11,0.0,73.13,2
637,1,1,1,2,2,1,2,81.74,72.01,87.49,59.41,63.38,83.01,62.5,0.28,0.59,0.11,0.0,66.64,2
638,2,2,1,1,1,1,1,66.49,69.94,87.49,80.64,79.74,82.26,84.37,0.6,0.3,0.08,0.0,75.5,1
639,2,1,1,1,1,1,1,67.84,75.93,87.49,78.75,82.0,84.1,84.37,0.68,0.23,0.07,0.0,77.84,1
640,1,1,1,1,1,1,1,81.18,80.66,87.49,81.39,78.03,85.51,84.37,0.83,0.12,0.03,0.0,82.56,1
641,1,1,1,1,1,1,2,72.27,79.39,87.49,76.88,83.51,83.31,62.5,0.38,0.51,0.1,0.0,69.34,2
642,1,1,1,2,1,1,1,81.49,79.02,87.49,69.06,79.98,83.13,84.37,0.76,0.18,0.05,0.0,80.38,1
643,1,1,1,1,1,1,1,76.81,77.91,87.49,80.41,83.11,85.15,84.37,0.79,0.15,0.04,0.0,81.29,1
644,1,1,1,2,2,1,1,81.0,78.27,87.49,61.82,54.82,76.42,84.37,0.54,0.33,0.12,0.0,73.15,2
645,1,1,1,3,3,3,1,80.4,78.97,87.49,50.17,43.82,43.63,84.37,0.32,0.2,0.46,0.0,58.87,2
646,1,1,1,1,1,1,2,80.46,74.88,87.49,82.4,81.41,82.69,62.5,0.38,0.51,0.1,0.0,69.67,2
647,1,1,1,2,2,2,1,80.07,78.78,87.49,56.11,53.27,63.4,84.37,0.45,0.37,0.17,0.0,69.57,2
648,1,1,1,1,1,1,1,78.6,74.09,87.49,81.91,80.36,80.94,84.37,0.76,0.18,0.05,0.0,80.16,1
649,1,2,1,1,1,1,2,80.01,70.34,87.49,81.78,77.32,84.16,62.5,0.36,0.53,0.1,0.0,68.88,2
650,1,1,1,1,1,1,1,76.16,75.93,87.49,81.39,82.98,82.74,84.37,0.77,0.17,0.05,0.0,80.51,1
651,1,1,1,1,2,1,1,81.13,79.43,87.49,78.36,62.34,85.27,84.37,0.71,0.23,0.05,0.0,79.06,1
