ringNumber,crackLength,crackWidth,radiusOfCurvature,segmentDislocation,settlementRate,convergenceDeformation,leakageRate,crackLengthScore,crackWidthScore,radiusOfCurvatureScore,segmentDislocationScore,settlementRateScore,convergenceDeformationScore,leakageRateScore,subjection1,subjection2,subjection3,subjection4,comprehensiveValue,comprehensiveLevel
710,1,1,1,3,2,3,1,78.93,76.78,87.49,40.93,60.15,41.73,84.37,0.31,0.18,0.5,0.0,57.62,2
711,1,1,1,2,2,1,1,69.98,79.11,87.49,67.64,68.32,84.04,84.37,0.64,0.27,0.07,0.0,76.53,1
712,2,2,1,2,1,1,2,66.66,64.62,87.49,65.23,79.62,85.06,62.5,0.25,0.61,0.12,0.0,65.78,2
713,1,1,1,1,1,1,1,79.39,77.52,87.49,73.98,82.91,80.88,84.37,0.77,0.17,0.05,0.0,80.65,1
714,1,2,1,1,1,1,1,79.69,68.05,87.49,73.39,82.17,82.93,84.37,0.65,0.27,0.06,0.0,77.22,1
715,1,2,1,1,1,1,2,77.34,66.73,87.49,81.26,80.88,78.75,62.5,0.33,0.55,0.11,0.0,67.98,2
716,1,1,1,1,2,2,1,80.76,79.11,87.49,76.65,66.99,61.93,84.37,0.64,0.28,0.07,0.0,76.64,1
717,1,1,1,2,1,1,1,76.32,79.16,87.49,63.86,81.25,82.72,84.37,0.69,0.23,0.06,0.0,78.27,1
718,1,2,1,1,2,1,2,75.37,63.11,87.49,81.48,63.54,84.67,62.5,0.26,0.61,0.11,0.0,66.21,2
719,1,1,1,1,1,1,2,72.44,78.38,87.49,82.3,78.88,83.52,62.5,0.38,0.51,0.1,0.0,69.36,2
720,1,1,1,2,2,1,2,76.95,80.43,87.49,52.59,60.37,83.04,62.5,0.27,0.55,0.16,0.0,65.21,2
721,1,1,1,2,1,1,1,78.35,79.02,87.49,60.68,79.32,77.54,84.37,0.65,0.27,0.07,0.0,77.09,1
722,1,1,1,1,1,1,1,69.44,79.02,87.49,81.63,82.83,77.84,84.37,0.73,0.19,0.07,0.0,78.99,1
723,1,1,1,1,2,1,2,80.36,79.52,87.49,77.34,61.16,84.8,62.5,0.35,0.54,0.1,0.0,68.61,2
724,1,2,1,2,2,1,1,75.27,65.86,87.49,52.65,64.21,84.75,84.37,0.42,0.41,0.15,0.0,69.33,2
725,2,2,1,2,1,1,1,66.33,69.94,87.49,66.73,82.93,84.14,84.37,0.56,0.34,0.09,0.0,74.18,2
726,2,1,1,2,1,1,2,61.75,77.38,87.49,57.83,74.27,78.19,62.5,0.25,0.6,0.14,0.0,65.37,2
727,1,2,1,1,2,1,1,79.53,71.17,87.49,77.28,52.22,85.48,84.37,0.56,0.29,0.14,0.0,73.11,2
728,1,2,1,1,2,1,1,74.24,70.34,87.49,78.77,67.83,81.48,84.37,0.63,0.29,0.07,0.0,76.5,1
729,1,1,1,1,1,1,1,77.2,73.27,87.49,79.12,79.83,82.67,84.37,0.73,0.2,0.05,0.0,79.47,1
730,2,1,1,2,1,2,1,66.17,80.32,87.49,61.71,81.11,65.18,84.37,0.54,0.35,0.1,0.0,73.43,2
731,1,2,1,2,1,2,1,81.13,61.75,87.49,67.43,80.7,59.63,84.37,0.43,0.45,0.11,0.0,70.59,2
