ringNumber,crackLength,crackWidth,radiusOfCurvature,segmentDislocation,settlementRate,convergenceDeformation,leakageRate,crackLengthScore,crackWidthScore,radiusOfCurvatureScore,segmentDislocationScore,settlementRateScore,convergenceDeformationScore,leakageRateScore,subjection1,subjection2,subjection3,subjection4,comprehensiveValue,comprehensiveLevel
632,1,1,1,2,1,1,1,78.74,80.39,87.49,68.28,82.24,70.96,84.37,0.72,0.2,0.06,0.0,78.96,1
633,1,2,1,1,1,1,1,81.25,70.34,87.49,79.9,79.94,79.48,84.37,0.71,0.23,0.05,0.0,78.78,1
634,1,1,1,1,1,1,1,72.93,78.01,87.49,78.08,74.46,80.51,84.37,0.73,0.2,0.06,0.0,79.19,1
635,1,1,1,2,2,1,1,78.58,76.24,87.49,58.12,59.09,70.45,84.37,0.5,0.38,0.11,0.0,72.41,2
636,1,1,1,2,2,1,1,80.63,77.75,87.49,54.02,58.19,85.44,84.37,0.51,0.34,0.14,0.0,71.73,2
637,1,2,1,2,2,1,2,81.7,66.14,87.49,58.05,62.08,82.83,62.5,0.24,0.62,0.12,0.0,65.36,2
638,2,2,1,1,1,1,1,64.97,64.62,87.49,80.53,79.42,81.93,84.37,0.51,0.38,0.1,0.0,72.79,2
639,2,1,1,1,1,1,1,66.02,72.01,87.49,77.95,81.56,83.94,84.37,0.62,0.28,0.08,0.0,75.98,1
640,1,1,1,1,1,1,1,80.8,80.62,87.49,81.18,77.93,85.45,84.37,0.83,0.12,0.03,0.0,82.45,1
641,1,1,1,1,1,1,2,71.93,78.53,87.49,76.73,83.23,83.3,62.5,0.37,0.51,0.1,0.0,69.23,2
642,1,1,1,2,1,1,1,81.44,78.17,87.49,67.53,79.35,83.01,84.37,0.74,0.2,0.05,0.0,79.76,1
643,1,1,1,1,1,1,1,76.24,72.01,87.49,80.25,82.78,85.1,84.37,0.72,0.21,0.05,0.0,79.18,1
644,1,1,1,2,2,1,1,80.85,78.22,87.49,61.67,53.32,75.63,84.37,0.53,0.32,0.13,0.0,72.48,2
645,1,1,1,3,3,3,1,80.07,78.87,87.49,48.46,42.95,43.43,84.37,0.31,0.19,0.49,0.0,57.98,2
646,1,2,1,1,1,1,2,80.03,69.54,87.49,82.03,81.05,82.51,62.5,0.35,0.53,0.1,0.0,68.79,2
647,1,1,1,2,2,2,1,79.83,78.38,87.49,54.02,51.55,62.81,84.37,0.43,0.36,0.2,0.0,68.16,2
648,1,2,1,1,1,1,1,78.43,67.37,87.49,81.57,79.69,80.79,84.37,0.65,0.27,0.06,0.0,77.2,1
649,1,2,1,1,1,1,2,79.85,69.94,87.49,81.18,77.12,84.14,62.5,0.35,0.53,0.1,0.0,68.78,2
