ringNumber,crackLength,crackWidth,radiusOfCurvature,segmentDislocation,settlementRate,convergenceDeformation,leakageRate,crackLengthScore,crackWidthScore,radiusOfCurvatureScore,segmentDislocationScore,settlementRateScore,convergenceDeformationScore,leakageRateScore,subjection1,subjection2,subjection3,subjection4,comprehensiveValue,comprehensiveLevel
332,2,1,1,2,1,1,1,63.09,78.53,87.49,60.5,82.6,79.81,84.37,0.53,0.36,0.1,0.0,73.24,2
333,1,2,1,2,1,1,2,77.8,66.73,87.49,61.6,81.75,85.03,62.5,0.28,0.59,0.11,0.0,66.81,2
334,1,2,1,1,1,1,1,79.36,63.27,87.49,81.39,79.11,80.75,84.37,0.57,0.34,0.07,0.0,74.98,2
335,2,2,1,1,1,1,2,62.09,68.41,87.49,74.09,77.93,84.22,62.5,0.27,0.59,0.12,0.0,66.2,2
336,1,2,1,2,1,1,2,78.14,60.51,87.49,69.06,80.88,72.18,62.5,0.24,0.62,0.12,0.0,65.6,2
337,1,1,1,1,1,1,1,79.36,77.75,87.49,78.5,72.75,85.08,84.37,0.77,0.17,0.04,0.0,80.6,1
338,2,1,1,1,1,1,1,60.51,77.21,87.49,79.85,80.33,81.24,84.37,0.57,0.32,0.09,0.0,74.56,2
339,1,1,1,1,2,1,2,72.44,80.55,87.49,75.19,69.09,83.87,62.5,0.36,0.52,0.1,0.0,68.86,2
340,2,1,1,3,2,1,1,60.57,76.24,87.49,37.89,66.7,85.12,84.37,0.33,0.28,0.34,0.03,60.16,2
341,1,2,1,1,2,1,2,77.8,63.99,87.49,75.69,67.21,84.7,62.5,0.28,0.59,0.11,0.0,66.75,2
342,1,2,1,1,1,1,1,71.06,60.77,87.49,77.65,79.13,83.44,84.37,0.48,0.42,0.09,0.0,72.18,2
343,1,1,1,2,1,1,1,75.37,73.27,87.49,62.36,82.43,84.94,84.37,0.62,0.29,0.07,0.0,76.41,1
344,2,2,1,1,1,1,1,59.18,62.06,87.49,81.01,80.64,81.76,84.37,0.39,0.48,0.11,0.0,69.45,2
345,1,2,1,2,2,1,1,80.22,59.73,87.49,64.69,67.75,84.82,84.37,0.41,0.48,0.09,0.0,70.57,2
346,1,2,1,2,3,3,1,74.5,70.75,87.49,57.27,41.69,51.96,84.37,0.33,0.3,0.35,0.0,61.83,2
