ringNumber,crackLength,crackWidth,radiusOfCurvature,segmentDislocation,settlementRate,convergenceDeformation,leakageRate,crackLengthScore,crackWidthScore,radiusOfCurvatureScore,segmentDislocationScore,settlementRateScore,convergenceDeformationScore,leakageRateScore,subjection1,subjection2,subjection3,subjection4,comprehensiveValue,comprehensiveLevel
409,1,1,1,2,1,1,1,78.77,77.96,87.49,59.63,80.27,78.93,84.37,0.64,0.27,0.07,0.0,76.72,1
410,1,1,1,1,1,1,1,76.88,78.22,87.49,78.5,80.08,83.33,84.37,0.78,0.16,0.05,0.0,80.91,1
411,1,1,1,1,1,1,2,81.56,80.98,87.49,81.03,81.33,81.29,62.5,0.4,0.49,0.09,0.0,70.2,2
412,1,1,1,2,2,2,1,81.59,80.73,87.49,59.98,55.92,58.98,84.37,0.47,0.38,0.14,0.0,70.82,2
413,1,1,1,1,1,1,1,78.08,79.57,87.49,82.26,79.6,85.39,84.37,0.82,0.13,0.04,0.0,81.92,1
414,1,1,1,1,1,1,1,80.91,74.49,87.49,80.01,83.23,83.34,84.37,0.78,0.17,0.04,0.0,80.84,1
415,1,1,1,1,1,1,1,80.38,78.87,87.49,78.66,79.44,77.34,84.37,0.79,0.15,0.04,0.0,81.21,1
416,1,1,1,2,1,1,2,81.81,79.07,87.49,57.73,79.41,85.4,62.5,0.32,0.55,0.11,0.0,67.73,2
417,1,1,1,1,1,1,1,77.17,75.93,87.49,82.74,77.32,85.47,84.37,0.77,0.17,0.04,0.0,80.56,1
418,1,1,1,1,1,1,2,78.55,76.78,87.49,81.95,79.72,82.84,62.5,0.39,0.5,0.1,0.0,69.74,2
419,1,1,1,1,1,1,1,74.74,78.97,87.49,80.56,72.55,82.06,84.37,0.75,0.18,0.05,0.0,79.95,1
420,1,1,1,1,2,1,1,73.97,80.62,87.49,75.88,61.73,84.37,84.37,0.67,0.26,0.06,0.0,77.6,1
421,1,1,1,1,1,1,1,79.81,78.68,87.49,77.61,82.12,83.93,84.37,0.81,0.14,0.04,0.0,81.68,1
422,1,1,1,1,1,1,1,81.76,78.48,87.49,82.03,82.69,82.54,84.37,0.83,0.12,0.03,0.0,82.33,1
423,1,1,1,2,1,1,1,78.46,81.05,87.49,58.73,79.91,82.03,84.37,0.65,0.26,0.07,0.0,76.97,1
424,1,1,1,1,1,1,2,81.67,79.07,87.49,76.15,73.04,85.47,62.5,0.38,0.51,0.09,0.0,69.7,2
425,1,1,1,1,1,1,1,81.81,79.91,87.49,82.38,82.92,83.99,84.37,0.85,0.11,0.03,0.0,82.88,1
426,1,1,1,2,2,1,1,79.06,77.69,87.49,61.86,55.43,83.73,84.37,0.55,0.33,0.11,0.0,73.45,2
427,1,1,1,1,1,1,1,73.39,80.43,87.49,78.91,80.24,71.68,84.37,0.74,0.18,0.06,0.0,79.41,1
428,1,1,1,1,2,1,1,80.94,79.83,87.49,82.5,58.46,82.23,84.37,0.69,0.23,0.07,0.0,77.96,1
429,1,1,1,2,1,1,1,78.66,80.81,87.49,51.33,83.55,81.37,84.37,0.59,0.23,0.16,0.0,73.25,2
430,1,1,1,1,1,1,2,81.13,73.27,87.49,78.62,82.34,75.29,62.5,0.37,0.51,0.1,0.0,69.21,2
431,1,1,1,2,1,1,2,77.57,80.73,87.49,57.24,74.09,84.98,62.5,0.32,0.55,0.12,0.0,67.41,2
