ringNumber,crackLength,crackWidth,radiusOfCurvature,segmentDislocation,settlementRate,convergenceDeformation,leakageRate,crackLengthScore,crackWidthScore,radiusOfCurvatureScore,segmentDislocationScore,settlementRateScore,convergenceDeformationScore,leakageRateScore,subjection1,subjection2,subjection3,subjection4,comprehensiveValue,comprehensiveLevel
332,2,1,1,2,1,1,1,66.49,79.78,87.49,60.9,82.78,80.56,84.37,0.58,0.31,0.09,0.0,74.84,2
333,1,1,1,2,1,1,1,78.11,77.38,87.49,63.43,82.07,85.19,84.37,0.69,0.24,0.06,0.0,78.22,1
334,1,1,1,1,1,1,1,80.22,74.88,87.49,81.5,79.26,81.64,84.37,0.77,0.17,0.04,0.0,80.63,1
335,2,2,1,1,1,1,2,67.32,69.94,87.49,77.09,78.08,84.44,62.5,0.32,0.55,0.11,0.0,67.56,2
336,1,2,1,1,1,1,2,78.46,61.47,87.49,76.58,81.7,75.29,62.5,0.27,0.6,0.11,0.0,66.36,2
337,1,1,1,1,1,1,1,79.81,78.78,87.49,79.55,77.06,85.12,84.37,0.8,0.14,0.04,0.0,81.57,1
338,2,1,1,1,1,1,1,63.78,77.38,87.49,80.32,80.62,81.5,84.37,0.64,0.27,0.08,0.0,76.35,1
339,1,1,1,1,1,1,2,73.39,80.73,87.49,76.81,76.99,84.16,62.5,0.38,0.51,0.1,0.0,69.42,2
340,2,1,1,3,2,1,1,62.87,78.07,87.49,40.94,71.49,85.29,84.37,0.39,0.24,0.36,0.0,63.21,2
341,1,2,1,1,2,1,2,77.99,66.73,87.49,78.08,71.39,84.7,62.5,0.32,0.56,0.11,0.0,67.75,2
342,1,2,1,1,1,1,1,72.27,64.85,87.49,79.63,79.78,83.58,84.37,0.57,0.33,0.08,0.0,74.87,2
343,1,1,1,2,1,1,1,76.51,73.69,87.49,64.26,82.67,85.02,84.37,0.65,0.27,0.06,0.0,77.27,1
344,2,2,1,1,1,1,1,60.51,62.96,87.49,81.16,81.53,81.93,84.37,0.42,0.45,0.11,0.0,70.45,2
345,1,2,1,1,1,1,1,80.73,62.96,87.49,71.08,72.26,85.0,84.37,0.53,0.38,0.08,0.0,73.81,2
346,1,1,1,2,3,2,1,77.17,75.24,87.49,57.79,41.79,55.45,84.37,0.36,0.29,0.33,0.0,63.18,2
347,1,2,1,2,1,1,2,78.17,61.65,87.49,61.33,79.96,84.7,62.5,0.24,0.63,0.12,0.0,65.46,2
348,1,1,1,1,1,1,1,71.41,79.95,87.49,80.29,79.21,84.84,84.37,0.76,0.17,0.06,0.0,80.0,1
349,1,1,1,1,2,1,1,80.59,78.43,87.49,77.74,67.37,72.88,84.37,0.71,0.21,0.06,0.0,78.93,1
350,1,2,1,1,2,1,1,80.92,64.19,87.49,80.61,62.79,84.76,84.37,0.53,0.38,0.07,0.0,73.93,2
351,1,2,1,1,1,1,1,76.77,71.59,87.49,79.25,80.88,79.51,84.37,0.7,0.22,0.06,0.0,78.64,1
352,1,2,1,3,1,2,2,78.77,70.75,87.49,47.12,82.45,62.76,62.5,0.24,0.52,0.22,0.0,63.09,2
353,1,2,1,2,1,2,1,74.85,61.75,87.49,64.4,78.53,64.26,84.37,0.42,0.46,0.1,0.0,70.52,2
354,2,2,1,1,2,2,1,67.15,64.4,87.49,81.42,53.37,58.35,84.37,0.37,0.44,0.17,0.0,67.56,2
355,1,1,1,1,1,1,1,78.26,78.73,87.49,76.73,76.18,83.1,84.37,0.78,0.16,0.05,0.0,80.77,1
356,1,1,1,1,2,1,1,78.8,77.69,87.49,81.34,65.96,84.51,84.37,0.73,0.21,0.05,0.0,79.49,1
357,1,2,1,1,1,1,1,80.84,61.65,87.49,80.9,80.65,68.73,84.37,0.51,0.39,0.08,0.0,73.16,2
358,1,2,1,1,1,1,1,74.24,60.95,87.49,80.2,83.33,76.34,84.37,0.5,0.4,0.09,0.0,72.78,2
359,1,2,1,2,1,1,1,74.37,66.14,87.49,65.73,82.58,78.3,84.37,0.55,0.35,0.08,0.0,74.21,2
360,1,2,1,1,1,1,1,79.83,63.11,87.49,80.23,83.19,73.47,84.37,0.56,0.35,0.08,0.0,74.54,2
361,1,2,1,1,2,1,2,77.8,60.89,87.49,78.91,65.22,81.39,62.5,0.24,0.63,0.11,0.0,65.72,2
362,1,1,1,2,1,1,1,75.91,76.78,87.49,67.23,82.25,84.94,84.37,0.71,0.22,0.06,0.0,78.72,1
363,1,1,1,1,1,1,2,80.22,76.24,87.49,80.77,74.55,83.21,62.5,0.38,0.51,0.1,0.0,69.59,2
364,2,1,1,2,1,1,2,66.82,73.69,87.49,62.1,79.09,83.83,62.5,0.29,0.57,0.12,0.0,66.89,2
365,1,2,1,1,1,1,2,80.4,60.77,87.49,81.67,82.18,84.94,62.5,0.27,0.61,0.11,0.0,66.39,2
366,1,2,1,2,1,1,1,77.99,67.71,87.49,63.74,82.06,71.88,84.37,0.56,0.34,0.08,0.0,74.42,2
367,1,2,1,2,2,2,1,75.85,61.31,87.49,53.48,57.05,60.92,84.37,0.3,0.52,0.17,0.0,65.62,2
368,1,2,1,2,1,2,1,80.32,62.81,87.49,60.65,81.08,66.14,84.37,0.44,0.45,0.1,0.0,71.06,2
369,1,2,1,1,2,1,1,78.93,65.09,87.49,80.77,71.11,85.49,84.37,0.59,0.33,0.07,0.0,75.51,1
370,1,1,1,2,1,1,1,78.11,78.17,87.49,67.64,82.72,82.89,84.37,0.73,0.2,0.05,0.0,79.48,1
371,1,2,1,1,3,1,2,79.85,66.14,87.49,81.34,41.99,83.79,62.5,0.24,0.48,0.26,0.0,62.0,2
372,1,1,1,1,2,1,1,78.26,78.63,87.49,80.32,65.11,83.72,84.37,0.72,0.21,0.05,0.0,79.31,1
373,1,2,1,1,1,1,1,76.59,62.06,87.49,79.47,80.43,82.51,84.37,0.54,0.37,0.08,0.0,73.94,2
374,1,1,1,2,1,1,1,76.74,76.52,87.49,69.29,74.37,84.89,84.37,0.7,0.23,0.06,0.0,78.68,1
375,1,2,1,1,1,1,1,80.63,68.05,87.49,72.3,80.93,84.42,84.37,0.65,0.28,0.06,0.0,77.19,1
376,2,1,1,2,2,2,1,62.37,79.11,87.49,60.3,62.89,64.39,84.37,0.42,0.45,0.11,0.0,70.15,2
377,1,1,1,2,2,1,1,80.46,79.43,87.49,53.21,58.97,81.62,84.37,0.51,0.33,0.15,0.0,71.66,2
378,1,1,1,1,1,1,1,78.55,79.34,87.49,79.31,79.32,84.19,84.37,0.81,0.14,0.04,0.0,81.61,1
379,1,2,1,2,1,1,1,76.81,65.33,87.49,63.93,80.62,70.25,84.37,0.51,0.38,0.09,0.0,73.13,2
380,1,2,1,2,1,1,2,78.46,62.41,87.49,68.5,81.19,82.33,62.5,0.27,0.6,0.11,0.0,66.41,2
381,1,2,1,2,2,2,1,76.36,59.86,87.49,58.89,53.07,63.02,84.37,0.29,0.54,0.16,0.0,65.78,2
382,2,2,1,1,1,1,2,67.84,67.71,87.49,82.65,72.07,83.02,62.5,0.3,0.57,0.12,0.0,67.15,2
383,1,2,1,4,1,1,1,80.8,61.65,87.49,27.29,82.65,84.87,84.37,0.26,0.22,0.26,0.24,50.17,2
384,1,2,1,3,2,1,2,76.4,61.02,87.49,47.17,64.17,81.51,62.5,0.18,0.59,0.21,0.0,61.69,2
385,2,2,1,2,2,1,1,65.56,64.85,87.49,57.96,66.29,73.75,84.37,0.39,0.47,0.12,0.0,69.12,2
386,1,1,1,1,1,1,1,70.88,73.27,87.49,77.98,81.33,82.33,84.37,0.68,0.23,0.07,0.0,77.95,1
387,1,2,1,2,2,1,1,80.36,65.59,87.49,64.47,70.54,81.08,84.37,0.53,0.37,0.08,0.0,73.82,2
388,1,1,1,1,1,2,2,80.15,79.02,87.49,78.41,80.53,68.04,62.5,0.37,0.51,0.1,0.0,69.25,2
389,1,2,1,2,1,1,1,80.92,66.43,87.49,65.82,81.69,85.31,84.37,0.58,0.33,0.07,0.0,75.38,1
390,1,1,1,2,1,2,1,81.12,79.3,87.49,69.64,80.77,64.74,84.37,0.68,0.24,0.06,0.0,77.99,1
391,2,2,1,2,1,1,1,65.71,66.43,87.49,53.65,80.5,72.08,84.37,0.42,0.41,0.16,0.0,68.99,2
392,1,1,1,1,2,2,1,74.97,72.01,87.49,75.88,59.54,61.07,84.37,0.51,0.38,0.1,0.0,72.78,2
393,1,1,1,1,2,1,1,77.51,75.93,87.49,81.71,56.66,81.46,84.37,0.63,0.27,0.09,0.0,76.0,1
394,1,2,1,1,2,1,1,68.19,60.37,87.49,79.51,69.53,84.13,84.37,0.43,0.45,0.1,0.0,70.9,2
395,1,1,1,1,1,1,1,78.02,78.33,87.49,78.57,81.05,75.63,84.37,0.77,0.16,0.05,0.0,80.57,1
396,1,2,1,1,1,1,1,80.38,61.09,87.49,81.21,80.36,84.01,84.37,0.53,0.39,0.07,0.0,73.8,2
397,2,1,1,1,1,1,1,62.09,78.22,87.49,81.31,79.89,77.0,84.37,0.61,0.29,0.09,0.0,75.41,1
398,1,1,1,1,1,1,1,77.17,78.27,87.49,71.69,77.25,76.79,84.37,0.73,0.2,0.06,0.0,79.35,1
399,1,1,1,2,1,1,2,77.1,74.49,87.49,60.01,79.53,84.09,62.5,0.32,0.56,0.11,0.0,67.66,2
400,1,1,1,2,2,1,1,77.44,78.07,87.49,61.86,68.32,77.47,84.37,0.62,0.3,0.07,0.0,76.13,1
401,1,2,1,3,1,1,2,80.94,60.37,87.49,48.02,74.55,80.75,62.5,0.19,0.59,0.2,0.0,62.21,2
402,1,2,1,1,1,1,1,78.02,63.62,87.49,79.19,81.52,73.37,84.37,0.56,0.35,0.08,0.0,74.54,2
403,1,1,1,2,2,1,2,79.81,78.43,87.49,58.18,58.72,71.47,62.5,0.27,0.58,0.13,0.0,66.05,2
404,1,2,1,1,1,1,1,77.89,71.17,87.49,73.86,82.32,84.32,84.37,0.7,0.23,0.06,0.0,78.45,1
405,1,1,1,1,1,1,2,79.29,77.01,87.49,78.12,79.44,82.0,62.5,0.38,0.5,0.1,0.0,69.69,2
406,2,1,1,2,1,1,1,64.16,77.75,87.49,60.22,82.78,83.88,84.37,0.54,0.35,0.09,0.0,73.62,2
407,1,1,1,1,1,1,1,76.74,77.96,87.49,74.32,82.42,84.99,84.37,0.77,0.17,0.05,0.0,80.53,1
408,1,1,1,2,1,1,1,79.9,78.53,87.49,59.07,79.17,80.75,84.37,0.64,0.27,0.07,0.0,76.79,1
