ringNumber,crackLength,crackWidth,radiusOfCurvature,segmentDislocation,settlementRate,convergenceDeformation,leakageRate,crackLengthScore,crackWidthScore,radiusOfCurvatureScore,segmentDislocationScore,settlementRateScore,convergenceDeformationScore,leakageRateScore,subjection1,subjection2,subjection3,subjection4,comprehensiveValue,comprehensiveLevel
332,1,1,1,2,1,1,1,72.44,80.36,87.49,61.78,83.04,81.44,84.37,0.65,0.26,0.07,0.0,77.0,1
333,1,1,1,2,1,1,1,79.24,78.01,87.49,66.26,82.26,85.3,84.37,0.73,0.21,0.05,0.0,79.37,1
334,1,1,1,1,1,1,1,80.5,79.48,87.49,82.48,79.65,82.34,84.37,0.82,0.12,0.04,0.0,82.19,1
335,1,1,1,1,1,1,1,71.93,78.22,87.49,79.57,79.39,84.56,84.37,0.75,0.18,0.06,0.0,79.74,1
336,1,2,1,1,1,1,2,79.65,62.96,87.49,78.1,82.72,76.34,62.5,0.29,0.58,0.11,0.0,66.95,2
337,1,1,1,1,1,1,1,80.44,78.92,87.49,80.34,79.67,85.19,84.37,0.82,0.13,0.04,0.0,82.04,1
338,1,1,1,1,1,1,1,69.8,79.39,87.49,81.25,80.75,81.62,84.37,0.74,0.19,0.06,0.0,79.34,1
339,1,1,1,1,1,1,2,76.59,80.84,87.49,78.39,79.79,84.31,62.5,0.39,0.5,0.1,0.0,69.85,2
340,1,1,1,3,1,1,1,68.36,79.74,87.49,41.04,72.26,85.37,84.37,0.44,0.19,0.36,0.0,64.32,2
341,1,2,1,1,1,1,2,79.01,70.34,87.49,78.91,78.53,84.77,62.5,0.35,0.53,0.1,0.0,68.81,2
342,1,2,1,1,1,1,1,76.2,65.33,87.49,81.01,79.86,83.62,84.37,0.61,0.31,0.07,0.0,75.91,1
343,1,1,1,2,1,1,1,76.88,79.21,87.49,66.54,83.31,85.22,84.37,0.73,0.2,0.05,0.0,79.35,1
344,2,1,1,1,1,1,1,63.66,75.6,87.49,81.76,81.99,82.33,84.37,0.63,0.28,0.08,0.0,76.09,1
345,1,1,1,1,1,1,1,80.89,75.93,87.49,78.32,75.61,85.03,84.37,0.77,0.18,0.04,0.0,80.65,1
346,1,1,1,2,3,2,1,77.7,79.02,87.49,59.36,41.89,58.85,84.37,0.39,0.29,0.31,0.0,64.35,2
